Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
828	-420.3826	-430.772	10.3894	0.160887	0.0836235	0.0998037	0.0280636	0.0281164	0.00837904	0.0561449	0.110002	0.0401801	0.16272	0.425358	0.0922605	0.427745	0.0439006	0.141164	0.616985	1.36706	0.623257	0.79407	0.930589	1.07459	1.25934	1.60447	0.3418644	0.4325184	0.0843069	0.0438198	0.0522985	0.0147057	0.0147334	0.00439073	0.0294207	0.0576424	0.0210549	0.0852675	0.222893	0.0483457	0.224144	0.0230045	0.073972	0.286127	0.713873	0.2861271	1.908348
864	-421.9596	-433.2961	11.33648	0.11091	0.0487607	0.0960931	0.0252291	0.0238683	0.012058	0.0441234	0.101361	0.0704546	0.118453	0.054404	0.123201	0.0132486	0.248909	0.0522837	0.378345	1.59575	0.30042	0.556272	0.832788	1.20079	1.79768	3.32867	0.8695437	0.2272164	0.0970035	0.042647	0.0840446	0.0220658	0.0208757	0.0105461	0.0385911	0.088652	0.0616208	0.103601	0.0475827	0.107754	0.0115875	0.2177	0.0457282	0.277689	0.722311	0.277689	1.143357
900	-419.0282	-430.5463	11.51811	0.190284	0.0856631	0.0938468	0.0679244	0.00283037	0.034011	0.0431343	0.194505	0.115975	0.0485656	0.24233	0.0381534	0.0501205	0.0107258	0.195062	0.31576	1.65573	0.506856	0.717912	0.901772	1.10893	1.39293	1.97295	0.491346	0.1827611	0.134654	0.0606193	0.0664105	0.0480666	0.0020029	0.0240678	0.0305239	0.137641	0.0820694	0.0343674	0.171485	0.0269992	0.0354677	0.00759011	0.138035	0.421241	0.578759	0.4212408	1.413132
936	-423.9549	-434.5332	10.57824	0.0833026	0.0217378	0.0879587	0.003639	0.0109361	0.00446345	0.0189986	0.0228819	0.0640289	0.0200652	0.159455	0.0165816	0.0482983	0.0402205	0.124291	0.715894	1.27227	0.150294	0.396819	0.749494	1.33423	2.52004	6.65361	1.370331	0.5392456	0.114606	0.0299065	0.121012	0.00500647	0.0150457	0.00614074	0.026138	0.0314805	0.0880899	0.0276054	0.219376	0.0228127	0.0664481	0.0553346	0.170997	0.304762	0.695238	0.3047621	0.7268585
972	-415.6404	-427.0867	11.4463	0.0990837	0.0558225	0.153954	0.00594207	0.00524192	0.0255454	0.00707159	0.112289	0.0336149	0.184936	0.0601998	0.010028	0.060141	0.103674	0.288426	0.306185	1.66491	0.313093	0.567595	0.83804	1.19326	1.76182	3.19394	0.8396677	0.1762427	0.0821611	0.0462884	0.12766	0.00492721	0.00434664	0.0211824	0.00586382	0.0931108	0.0278737	0.15335	0.0499182	0.00831534	0.0498695	0.0859672	0.239166	0.337771	0.662229	0.3377712	1.20597
1008	-417.896	-429.2408	11.34482	0.136807	0.0486196	0.0963744	0.039198	0.00731524	0.0177097	0.00511162	0.0405013	0.0584832	0.0474428	0.0241257	0.169916	0.224265	0.146221	0.0711937	0.339073	1.63339	0.267319	0.525486	0.818126	1.22231	1.903	3.74085	0.9539538	0.198939	0.120718	0.0429015	0.0850399	0.0345879	0.0064549	0.0156269	0.00451045	0.035738	0.051605	0.0418631	0.0212883	0.149932	0.19789	0.129024	0.0628207	0.374669	0.625331	0.3746692	1.133284
1044	-418.9187	-430.1544	11.23567	0.145069	0.0745464	0.0755566	0.0332088	0.00841623	0.0271646	0.00826814	0.0446468	0.0227413	0.0524545	0.0213441	0.181698	0.190635	0.041074	0.0258051	0.480487	1.49787	0.262328	0.520678	0.815783	1.22582	1.92057	3.81202	0.967581	0.3074154	0.152283	0.0782533	0.0793137	0.0348602	0.00883474	0.0285154	0.00867928	0.0468669	0.0238722	0.0550628	0.0224055	0.190733	0.200115	0.0431164	0.0270882	0.306826	0.693174	0.306826	0.9526293
1080	-422.2602	-433.0697	10.8095	0.218798	0.0543959	0.153624	0.0869542	0.00966208	0.00721412	0.00270978	0.234455	0.106564	0.439526	0.0224904	0.00209443	0.282	0.120568	0.0454903	0.430261	1.546	0.534937	0.737042	0.909201	1.09987	1.35677	1.86938	0.4523568	0.2667099	0.12247	0.0304475	0.0859895	0.0486716	0.00540824	0.00403802	0.00151677	0.131234	0.0596482	0.24602	0.0125888	0.00117234	0.157846	0.0674865	0.0254627	0.256323	0.743677	0.2563234	1.786549
1116	-423.929	-435.4758	11.5468	0.0895379	0.121191	0.170097	0.0375108	0.0164346	0.0143919	0.00122479	0.184823	0.0436365	0.00441747	0.29864	0.00738551	0.2898	0.113642	0.118485	0.172002	1.7935	0.395975	0.636475	0.868527	1.15137	1.57115	2.52541	0.6698546	0.09190708	0.0592489	0.0801946	0.112556	0.0248216	0.0108751	0.00952338	0.000810466	0.122301	0.0288751	0.00292312	0.197615	0.00488713	0.191766	0.0751989	0.0784036	0.381697	0.618303	0.3816968	1.511216
1152	-422.2446	-433.6149	11.37038	0.190932	0.00929053	0.105221	0.0281226	0.00838329	0.0193065	0.00559354	0.0645373	0.0497118	0.00374282	0.152256	0.0307676	0.195398	0.0765525	0.0863155	0.591368	1.39161	0.466062	0.689127	0.890333	1.12318	1.45111	2.14564	0.5520168	0.4072472	0.18607	0.00905395	0.102542	0.0274064	0.00816982	0.0188148	0.00545111	0.0628939	0.048446	0.00364751	0.148378	0.0299841	0.190422	0.0746031	0.0841176	0.300887	0.699113	0.3008871	1.02613
1188	-422.7826	-433.8771	11.09451	0.192682	0.0774054	0.138848	0.0305985	0.0107847	0.070739	0.036515	0.185457	0.134886	0.228155	0.1521	0.0176389	0.0564533	0.0794906	0.21058	0.620676	1.36352	0.946653	0.973617	0.991693	1.00838	1.0271	1.05635	0.03964029	0.4362347	0.118769	0.0477124	0.0855851	0.0188608	0.00664765	0.0436032	0.0225077	0.114315	0.083143	0.140634	0.093754	0.0108725	0.0347976	0.0489977	0.129801	0.389272	0.610728	0.3892718	1.622333
1224	-430.6682	-441.5236	10.85539	0.222398	0.0208391	0.0919134	0.0544609	0.0591531	0.067316	0.0882534	0.0664416	0.0526955	0.221108	0.11727	0.0181174	0.0997826	0.11765	0.210448	0.705137	1.28258	0.678488	0.827642	0.942689	1.0608	1.20825	1.47387	0.2804704	0.5268733	0.147494	0.0138205	0.0609567	0.0361183	0.0392301	0.0446438	0.0585294	0.0440639	0.0349475	0.146638	0.0777731	0.0120154	0.0661755	0.0780249	0.139568	0.314751	0.685249	0.3147507	1.507847
1260	-419.2382	-430.5594	11.32113	0.139377	0.00220271	0.0526914	0.0336626	0.00254879	0.0219737	0.0830722	0.217483	0.0746136	0.231574	0.0611247	0.0328799	0.0393553	0.123108	0.251325	0.425945	1.55014	0.486699	0.703843	0.896221	1.1158	1.42077	2.05466	0.5206889	0.2633299	0.101959	0.00161136	0.0385456	0.0246253	0.00186453	0.0160745	0.0607701	0.159096	0.0545823	0.169404	0.0447148	0.0240528	0.0287897	0.0900574	0.183852	0.284332	0.715668	0.2843324	1.366991
